Entity,Code,Year,Number of disasters (EMDAT (2020))
Extreme weather,,1900,1
Extreme weather,,1902,1
Extreme weather,,1903,2
Extreme weather,,1904,1
Extreme weather,,1905,1
Extreme weather,,1906,3
Extreme weather,,1909,5
Extreme weather,,1910,1
Extreme weather,,1911,2
Extreme weather,,1912,5
Extreme weather,,1913,1
Extreme weather,,1914,1
Extreme weather,,1915,2
Extreme weather,,1916,1
Extreme weather,,1917,2
Extreme weather,,1918,1
Extreme weather,,1919,2
Extreme weather,,1920,1
Extreme weather,,1922,2
Extreme weather,,1923,6
Extreme weather,,1924,2
Extreme weather,,1925,3
Extreme weather,,1926,7
Extreme weather,,1927,4
Extreme weather,,1928,7
Extreme weather,,1929,2
Extreme weather,,1930,4
Extreme weather,,1931,4
Extreme weather,,1932,5
Extreme weather,,1933,3
Extreme weather,,1934,4
Extreme weather,,1935,7
Extreme weather,,1936,5
Extreme weather,,1937,3
Extreme weather,,1938,2
Extreme weather,,1939,2
Extreme weather,,1940,3
Extreme weather,,1941,2
Extreme weather,,1942,3
Extreme weather,,1943,3
Extreme weather,,1944,5
Extreme weather,,1945,7
Extreme weather,,1946,5
Extreme weather,,1947,7
Extreme weather,,1948,10
Extreme weather,,1949,8
Extreme weather,,1950,7
Extreme weather,,1951,11
Extreme weather,,1952,10
Extreme weather,,1953,11
Extreme weather,,1954,10
Extreme weather,,1955,19
Extreme weather,,1956,14
Extreme weather,,1957,9
Extreme weather,,1958,13
Extreme weather,,1959,16
Extreme weather,,1960,20
Extreme weather,,1961,14
Extreme weather,,1962,13
Extreme weather,,1963,21
Extreme weather,,1964,22
Extreme weather,,1965,19
Extreme weather,,1966,28
Extreme weather,,1967,25
Extreme weather,,1968,25
Extreme weather,,1969,25
Extreme weather,,1970,24
Extreme weather,,1971,22
Extreme weather,,1972,26
Extreme weather,,1973,22
Extreme weather,,1974,28
Extreme weather,,1975,28
Extreme weather,,1976,36
Extreme weather,,1977,32
Extreme weather,,1978,42
Extreme weather,,1979,31
Extreme weather,,1980,42
Extreme weather,,1981,50
Extreme weather,,1982,52
Extreme weather,,1983,59
Extreme weather,,1984,57
Extreme weather,,1985,51
Extreme weather,,1986,56
Extreme weather,,1987,58
Extreme weather,,1988,60
Extreme weather,,1989,73
Extreme weather,,1990,137
Extreme weather,,1991,66
Extreme weather,,1992,76
Extreme weather,,1993,108
Extreme weather,,1994,81
Extreme weather,,1995,81
Extreme weather,,1996,77
Extreme weather,,1997,79
Extreme weather,,1998,88
Extreme weather,,1999,106
Extreme weather,,2000,102
Extreme weather,,2001,105
Extreme weather,,2002,122
Extreme weather,,2003,86
Extreme weather,,2004,124
Extreme weather,,2005,130
Extreme weather,,2006,76
Extreme weather,,2007,105
Extreme weather,,2008,111
Extreme weather,,2009,87
Extreme weather,,2010,94
Extreme weather,,2011,84
Extreme weather,,2012,90
Extreme weather,,2013,105
Extreme weather,,2014,99
Extreme weather,,2015,118
Extreme weather,,2016,84
Extreme weather,,2017,85
Extreme weather,,2018,84
Extreme weather,,2019,85